time,flux,flux_err,time_bin_start,time_bin_size,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_lag
-2.2599567189505843,0.98042865308506,0.2016703797328224,-2.2712565383535694,1952.6087928358215,117536,1.0013646,0.9994939,0.008324749,227,5,1090.294189453125,1445.697509765625,19107.508,762.9778,0.9847194
-2.237357080144614,0.904822646511664,0.20712404851291966,-2.248656899547599,1952.6087928358215,115629,0.9995992,1.0009456,0.008285524,120,5,1082.449951171875,1445.43310546875,23722.8,414.36792,1.0014249
-2.214757441338644,1.1212572515607346,0.2064583972828991,-2.226057260741629,1952.6087928358193,115805,1.000393,1.0018672,0.008253974,361,5,1082.104248046875,1447.1358642578125,23579.258,824.57025,0.9847052
-2.1921578025326736,0.8941227910295091,0.19879822792176052,-2.2034576219356588,1952.6087928358215,114708,0.9979375,1.002074,0.008280108,221,5,1077.5347900390625,1442.185546875,24746.773,558.1398,1.0015708
-2.1695581637267036,0.7219012320132263,0.19282677565020986,-2.180857983129689,1952.6087928358193,112121,0.9984982,0.9986761,0.00815313,323,5,1064.458984375,1443.3634033203125,19484.91,772.77814,0.98387146
-2.1469585249207332,0.9956371455163227,0.19633272326721435,-2.1582583443237184,1952.6087928358215,111044,0.99978554,1.0026033,0.008173958,332,6,1060.6951904296875,1440.900634765625,23145.994,590.34357,1.0020016
-2.1243588861147633,0.9707400120948495,0.19138460173017635,-2.1356587055177485,1952.6087928358215,108645,0.9972392,1.000668,0.008049776,323,6,1048.081298828125,1442.143310546875,22446.88,936.2915,0.9851313
-2.1017592473087934,1.3211430978609415,0.18869663035843395,-2.113059066711778,1952.6087928358215,110564,0.99857694,1.0031309,0.008136503,409,6,1058.025634765625,1444.3511962890625,22677.44,762.641,0.9902891
-2.079159608502823,0.86925323378274,0.1955653489034013,-2.090459427905808,1952.6087928358193,115745,0.9976547,1.0015035,0.0082564885,323,5,1080.8353271484375,1444.60546875,22671.744,500.01736,1.0014073
-2.056559969696853,0.663291830113653,0.1909638528654945,-2.067859789099838,1952.6087928358193,108516,0.9982975,1.0000514,0.008048541,646,6,1049.57861328125,1450.517333984375,21109.168,489.81635,0.9995882
-2.0339603308908827,0.5986626388039469,0.2022807744661355,-2.045260150293868,1952.6087928358215,112915,0.99467033,0.9992602,0.008178157,819,5,1068.471435546875,1444.998291015625,22951.479,480.75937,0.9988802
-2.0113606920849127,0.7028558601140427,0.197911262036671,-2.0226605114878975,1952.6087928358215,114818,0.9972602,0.9980247,0.008251116,885,5,1077.2171630859375,1443.7513427734375,23157.082,850.077,0.98281264
-1.9887610532789424,0.4241284831729061,0.2033001968116822,-2.0000608726819276,1952.6087928358215,112827,0.9959872,0.997728,0.008239453,702,5,1069.226806640625,1441.7718505859375,18064.637,487.62857,0.9971162
-1.9661614144729722,0.5885160386365293,0.19766955158029884,-1.9774612338759574,1952.6087928358215,114806,0.9942491,0.9972387,0.0082221255,774,5,1076.8590087890625,1445.27099609375,21632.023,867.7175,0.97820777
-1.943561775667002,0.6514834091146364,0.20082157783634697,-1.9548615950699872,1952.6087928358215,113893,0.9929014,0.9989433,0.00821565,796,5,1072.9444580078125,1444.3370361328125,24005.63,496.0625,0.99839675
-1.920962136861032,0.7309694670873734,0.20773100773463657,-1.932261956264017,1952.6087928358215,115750,0.9991309,0.999195,0.008317073,602,5,1082.839111328125,1443.7738037109375,23737.906,476.57117,0.9993141
-1.8983624980550617,0.7771397932528232,0.19755462265506396,-1.909662317458047,1952.6087928358215,111014,0.9963007,0.99934256,0.008202949,664,6,1061.0528564453125,1439.3779296875,21774.207,488.67172,1.0000514
-1.8757628592490916,0.7000657588362855,0.1998210382910567,-1.8870626786520768,1952.6087928358168,110002,0.99381787,0.99868965,0.0081661455,796,6,1056.37255859375,1439.88134765625,22379.46,503.1239,0.99869037
-1.8531632204431217,1.203953479471353,0.19340424227086347,-1.8644630398461066,1952.6087928358168,108591,0.9969356,1.001815,0.008106233,862,6,1048.7386474609375,1439.1351318359375,24269.902,488.3671,1.001581
-1.8305635816371515,1.216478912394234,0.19320122743525417,-1.8418634010401365,1952.6087928358168,108502,0.9992732,1.0014505,0.008119728,862,6,1049.6822509765625,1442.598876953125,24223.535,529.76917,1.0011373
-1.8079639428311813,1.1692459319117838,0.19334465110024332,-1.8192637622341663,1952.6087928358168,112176,0.9982605,1.001038,0.0081384005,646,5,1065.0701904296875,1448.3441162109375,18045.496,847.01025,0.9857666
-1.7853643040252112,1.3017323856357197,0.19467395349818223,-1.7966641234281964,1952.6087928358168,106422,1.0009731,1.0021404,0.0079663545,455,6,1039.5810546875,1452.14892578125,20794.72,487.02972,1.001514
-1.7627646652192412,1.1401660156727604,0.19887121632902063,-1.7740644846222262,1952.6087928358215,114848,0.9964845,1.0017191,0.008251117,774,5,1077.174560546875,1443.7115478515625,24997.88,466.53247,1.0008503
-1.7401650264132709,0.9491212838280516,0.19509993770731646,-1.751464845816256,1952.6087928358215,115735,0.99985975,0.99844664,0.008256488,646,5,1080.85009765625,1444.6005859375,24300.715,643.9618,0.9937914
-1.717565387607301,1.1170472342610676,0.1998119077836576,-1.728865207010286,1952.608792835812,114588,0.99832183,1.0013785,0.008309098,664,5,1077.890380859375,1440.658935546875,20283.213,472.00406,1.0021969
-1.6949657488013308,0.9317480519680672,0.2001946087558466,-1.7062655682043157,1952.608792835812,113960,0.9977379,1.0002427,0.008215649,682,5,1072.94287109375,1444.33740234375,24070.18,486.65695,1.0002718
