time,flux,flux_err,time_bin_start,time_bin_size,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
-0.638398979286581,1.3327480839999788,0.22178290897647973,-0.6415914392368296,551.6570794029839,142031,1.003097,1.002228,0.011070527,983,5,1362.329833984375,1365.7449951171875,-248.98358,394.1636,1.0010298,1.0048726
-0.6320140593860835,1.051709548200635,0.24719934857365392,-0.6352065193363321,551.6570794029839,151610,1.0005889,0.9995306,0.011360027,975,3,1413.325927734375,1369.9957275390625,-213.04523,315.05145,0.9992255,1.0015615
-0.625629139485586,0.9471520862784817,0.22245028994532912,-0.6288215994358346,551.6570794029886,135016,1.0000911,0.9982147,0.010854465,512,6,1324.27490234375,1362.5692138671875,-391.59167,370.09415,0.99871856,0.99965554
-0.6192442195850884,1.249705761010185,0.24195444099306415,-0.6224366795353371,551.6570794029839,152023,1.0022163,1.0015038,0.011379379,558,2,1416.7314453125,1370.283203125,-341.56772,472.43045,1.0007056,1.0044217
-0.6128592996845909,0.643358734454822,0.23456065585588223,-0.6160517596348396,551.6570794029839,139078,0.9964741,0.99548507,0.0109729925,558,5,1345.15576171875,1364.30810546875,174.72955,414.13455,0.9978254,0.9951687
-0.6064743797840934,0.7692104256273106,0.24696021382479336,-0.6096668397343421,551.6570794029839,151384,0.998792,0.99638474,0.011360027,390,3,1413.3218994140625,1369.998046875,37.211914,334.3519,0.9984975,0.9969368
-0.6000894598835959,0.753464315661803,0.21863769242727232,-0.6032819198338446,551.6570794029839,136304,0.99785936,0.996652,0.010891718,655,6,1330.83642578125,1363.1170654296875,-311.1344,363.51678,0.998414,0.9968208
-0.5937045399830984,0.6969563012613647,0.2381357698105881,-0.5968969999333471,551.6570794029886,145519,0.9972378,0.9960039,0.011176185,558,4,1380.9427490234375,1367.296142578125,216.40909,328.81912,0.9983348,0.99589485
-0.5873196200826007,0.9188567786148745,0.23336251661700647,-0.5905120800328496,551.6570794029839,146320,0.999948,0.99825287,0.011202689,534,4,1385.60986328125,1367.6864013671875,-9.678694,346.29,0.9994637,0.9985417
-0.5809347001821032,0.9178724214647336,0.22255511549977885,-0.5841271601323521,551.6570794029839,135124,0.99926615,0.9983708,0.010854465,682,6,1324.2757568359375,1362.5703125,-417.03165,319.41083,0.9993744,0.99837524
-0.5745497802816057,1.446868900494162,0.25287852893194757,-0.5777422402318546,551.6570794029886,150820,1.0046097,1.0038457,0.01133874,614,3,1409.5758056640625,1369.6827392578125,-102.946,352.87048,1.0029652,1.0064027
-0.5681648603811082,0.923653058860067,0.23010489565377623,-0.571357320331357,551.6570794029839,140178,0.9992453,0.99846053,0.01100833,534,5,1351.378662109375,1364.8282470703125,80.272606,437.95218,0.9992805,0.9988012
-0.5617799404806108,1.425274841868176,0.23832814903742647,-0.5649724004308595,551.6570794029839,145442,1.0042182,1.0034755,0.011176185,744,4,1380.9412841796875,1367.2974853515625,-429.38495,447.55185,1.0028703,1.006077
-0.5553950205801133,1.446262840592954,0.22162313298455974,-0.558587480530362,551.6570794029839,142093,1.004906,1.003932,0.011070527,491,5,1362.33251953125,1365.7427978515625,-271.246,307.824,1.002641,1.0069252
-0.5490101006796158,1.2679287846782612,0.24842046825202058,-0.5522025606298645,551.6570794029839,143612,1.003582,1.0027307,0.011115228,819,4,1370.20751953125,1366.3992919921875,-396.11554,375.58704,1.0027527,1.0047008
-0.5426251807791183,0.7533427249982383,0.22239815623724216,-0.545817640729367,551.6570794029886,134949,0.9983496,0.99672335,0.010854465,170,6,1324.2735595703125,1362.5714111328125,-116.59084,290.2575,0.9992272,0.99650687
-0.5362402608786208,1.1652231162512137,0.24696850337480572,-0.5394327208288694,551.6570794029839,151634,1.0026861,1.0012399,0.011360027,585,3,1413.3271484375,1369.9945068359375,-329.47476,474.14044,1.000838,1.0030127
-0.5298553409781233,1.4579742665824011,0.225485467979882,-0.5330478009283719,551.6570794029839,141099,1.0057312,1.0041437,0.011040725,512,5,1357.082275390625,1365.3050537109375,-286.70084,410.3379,1.0023316,1.0071988
-0.5234704210776258,1.255950866839749,0.24171210731327059,-0.5266628810278744,551.6570794029839,152067,1.0033268,1.001808,0.011379379,372,2,1416.7315673828125,1370.281494140625,-136.13863,365.29047,1.0013782,1.0035533
-0.5170855011771283,1.3565154784275102,0.22233450547162292,-0.5202779611273769,551.6570794029886,135117,1.0045804,1.0031241,0.010854465,682,6,1324.2757568359375,1362.5689697265625,-497.3296,376.45792,1.0027035,1.005273
-0.5107005812766306,1.3855215018124971,0.24687848008085794,-0.5138930412268794,551.6570794029839,151409,1.0051112,1.0033884,0.011360027,585,3,1413.3226318359375,1369.997802734375,-13.601435,254.49142,1.002518,1.0056667
-0.5043156613761332,1.3376058090523857,0.22995944431335483,-0.5075081213263819,551.6570794029839,140170,1.0039985,1.0030334,0.01100833,712,5,1351.3787841796875,1364.82763671875,-256.14304,386.0856,1.0013107,1.0058489
-0.49793074147563565,1.1399666203568397,0.2333940587393872,-0.5011232014258844,551.6570794029839,146359,1.0019525,1.0009921,0.011202689,712,4,1385.6112060546875,1367.6856689453125,-304.023,398.42603,1.001388,1.0020213
-0.49154582157513815,0.7133798287566131,0.23008098439589866,-0.4947382815253869,551.6570794029839,140089,0.99702007,0.99658495,0.01100833,534,5,1351.376953125,1364.8291015625,35.40003,368.3043,0.99852115,0.9959002
