time,flux,flux_err,time_bin_start,time_bin_size,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
-0.11791487399204821,1.413052267040561,0.2024185051924515,-0.11989043718533224,0.003951126386568063,29685,1.0031974,1.0018964,0.0029603348,512,46,1432.355224609375,1056.44091796875,-546.07874,602.9412,1.0018057,1.002257
-0.11396374760548014,1.0034962608304823,0.2567562464651757,-0.11593931079876417,0.003951126386568063,29838,0.9976966,0.9999021,0.00295864,0,46,1473.6322021484375,1113.9417724609375,316.852,502.41998,0.99996156,1.0002787
-0.11001262121891209,1.1331052804437687,0.2571568397127595,-0.11198818441219612,0.003951126386568063,27412,1.0012509,1.0009973,0.0029721963,1228,43,1143.4259033203125,653.8375854492188,-111.20801,894.986,1.0001333,1.0018594
-0.10606149483234402,1.6279308214257933,0.21746110401080104,-0.10803705802562805,0.003951126386568063,29854,1.0024564,1.0037283,0.0029696939,585,46,1464.7330322265625,1066.478515625,-435.5457,602.03284,1.0011464,1.0050123
-0.10211036844577596,1.0,0.25622325499282794,-0.10408593163905999,0.003951126386568063,29861,0.99970853,1.000517,0.00295864,819,46,1473.6337890625,1113.9588623046875,62.272003,578.548,0.9999275,1.0003207
-0.0981592420592079,1.1249827377324704,0.23264395025121642,-0.10013480525249192,0.003951126386568063,29375,1.0022346,1.000039,0.0029480036,682,46,1428.986328125,1092.64794921875,-778.48,625.6483,0.99947524,1.0001173
-0.09420811567263983,0.8693754018925015,0.2574472702866223,-0.09618367886592386,0.003951126386568063,27524,0.99874985,0.99964124,0.0029721963,0,43,1143.4205322265625,653.8482666015625,96.729996,535.77,1.0002006,1.0000987
-0.09025698928607177,1.2309362201331493,0.21836687010369288,-0.0922325524793558,0.003951126386568063,29712,1.0005944,1.0012869,0.0029826842,877,46,1408.656494140625,953.2593994140625,243.05286,831.4814,1.0008856,1.0015962
-0.08630586289950372,1.161083240589603,0.20278615422430699,-0.08828142609278775,0.003951126386568063,29464,1.0000103,1.001302,0.0029603348,512,46,1432.3599853515625,1056.442138671875,-278.03876,586.8113,1.0001318,1.0017737
-0.08235473651293565,1.3677031434158025,0.2858012548330123,-0.08433029970621968,0.003951126386568063,31008,1.0016601,1.0025232,0.002951862,0,48,1638.7412109375,1344.009765625,112.0025,441.0975,1.0017747,1.001812
-0.07840361012636758,0.9595805601822839,0.2872293150752404,-0.08037917331965161,0.003951126386568063,28198,1.0002887,1.0001395,0.002968807,1024,44,1225.978759765625,768.864501953125,258.4625,540.6875,1.0004953,0.99910015
-0.07445248373979953,1.1186809922999832,0.2170991577419267,-0.07642804693308355,0.003951126386568063,28489,1.0003556,1.0007328,0.0029663865,0,44,1284.9405517578125,851.0345458984375,-186.52856,560.02435,1.0006459,1.0013496
-0.07050135735323147,1.8511157506217248,0.23583985005550515,-0.0724769205465155,0.003951126386568063,30563,1.0037237,1.0046426,0.002982173,1024,47,1507.8956298828125,1079.8499755859375,-32.15166,735.09503,1.0028249,1.0065352
-0.0665502309666634,0.7065126264669797,0.23332966103552905,-0.06852579415994743,0.003951126386568063,29154,0.9970699,0.9991644,0.0029480036,682,45,1428.9903564453125,1092.6575927734375,20.338333,535.99664,0.9995945,0.99882054
-0.06259910458009534,1.5289793686673874,0.25574553708111347,-0.06457466777337936,0.003951126386568063,27637,1.0027102,1.0024973,0.0029540097,0,43,1221.931884765625,812.3405151367188,-422.82,571.35,1.0013412,1.0026811
-0.058647978193527274,1.229853692162206,0.2899644825740329,-0.06062354138681131,0.003951126386568063,30341,1.0016128,1.0019951,0.0029973285,0,47,1442.47216796875,947.7760009765625,-16.217495,472.19,1.0005689,1.0026284
-0.054696851806959206,1.0982623556534012,0.203334145677278,-0.05667241500024324,0.003951126386568063,29409,1.0008247,1.0007166,0.0029717013,0,46,1383.29052734375,957.380126953125,-60.55125,467.66,1.0004723,1.000966
-0.05074572542039114,1.547579720858598,0.23476897338273525,-0.05272128861367517,0.003951126386568063,30861,1.0016528,1.0030142,0.0029670177,682,48,1573.3138427734375,1211.9324951171875,41.031666,504.3633,1.0018941,1.0042087
-0.04679459903382307,0.19060783849337026,0.2558954571133794,-0.0487701622271071,0.003951126386568063,27727,0.99520224,0.995859,0.0029540095,2048,43,1221.93212890625,812.3182983398438,63.33201,972.32196,0.99766886,0.9950401
-0.042843472647255,1.0307053765941592,0.23432345633003934,-0.044819035840539034,0.003951126386568063,28895,0.9996013,1.0007402,0.002963159,682,45,1363.56884765625,960.592041015625,-259.66666,501.55496,1.0004214,1.0000579
-0.03889234626068693,0.4650559587243289,0.2578188311081984,-0.040867909453970966,0.003951126386568063,29508,0.99678576,0.9975208,0.0029768269,0,46,1395.1275634765625,955.4602661132812,172.672,590.036,0.9976776,0.9970983
-0.03494121987411886,0.5210850164374483,0.23448958056905317,-0.0369167830674029,0.003951126386568063,30899,0.9975975,0.9973399,0.0029670177,0,48,1573.3193359375,1211.9298095703125,-87.34332,485.03833,0.99810773,0.9972493
-0.030990093487550798,0.4336853996123219,0.25590370952659447,-0.03296565668083483,0.003951126386568063,27750,0.99642885,0.99731445,0.0029540095,0,43,1221.9283447265625,812.3318481445312,-29.816004,500.298,0.9977787,0.9977101
-0.02703896710098273,-0.19913489664476258,0.2355342601562937,-0.02901453029426676,0.003951126386568063,28785,0.9931307,0.99404866,0.0029783144,1024,45,1298.1409912109375,828.4999389648438,362.30496,984.6167,0.994397,0.9943462
