time,flux,flux_err,time_bin_start,time_bin_size,cadenceno,quality
-3.6088013230211926,nan,nan,-3.626871864314725,3122.589535522387,95581,487
-3.572660240434128,nan,nan,-3.5907307817276606,3122.589535522392,103835,651
-3.5365191578470636,nan,nan,-3.5545896991405956,3122.589535522387,112934,512
-3.5003780752599987,nan,nan,-3.518448616553531,3122.589535522392,112903,512
-3.464236992672934,nan,nan,-3.482307533966466,3122.589535522392,112925,512
-3.4280959100858692,nan,nan,-3.4461664513794017,3122.5895355223824,112929,512
-3.3919548274988047,nan,nan,-3.410025368792337,3122.5895355223824,112951,512
-3.3558137449117402,nan,nan,-3.3738842862052723,3122.589535522392,112920,512
-3.3196726623246753,nan,nan,-3.3377432036182078,3122.589535522392,112942,512
-3.283531579737611,nan,nan,-3.3016021210311433,3122.5895355223824,112964,512
-3.247390497150546,nan,nan,-3.2654610384440783,3122.589535522392,112243,435
-3.2112494145634813,nan,nan,-3.229319955857014,3122.5895355223824,112938,512
-3.175108331976417,nan,nan,-3.1931788732699493,3122.589535522392,112960,204
-3.138967249389352,nan,nan,-3.1570377906828844,3122.5895355223965,112129,0
-3.1028261668022874,nan,nan,-3.1208967080958194,3122.589535522392,108241,0
-3.0666850842152225,nan,nan,-3.084755625508755,3122.589535522392,115933,93
-3.030544001628158,nan,nan,-3.04861454292169,3122.589535522387,118248,107
-2.994402919041093,nan,nan,-3.0124734603346255,3122.589535522392,112999,0
-2.9582618364540285,nan,nan,-2.9763323777475605,3122.589535522392,111216,0
-2.9221207538669636,nan,nan,-2.940191295160496,3122.589535522392,107335,99
-2.885979671279899,nan,nan,-2.9040502125734315,3122.5895355223847,115971,0
-2.849838588692834,nan,nan,-2.8679091299863666,3122.5895355223897,112190,0
-2.8136975061057696,nan,nan,-2.831768047399302,3122.589535522392,112985,102
-2.777556423518705,nan,nan,-2.795626964812237,3122.589535522392,112955,102
-2.74141534093164,nan,nan,-2.7594858822251727,3122.589535522392,116004,186
-2.7052742583445752,nan,nan,-2.7233447996381077,3122.589535522387,113524,250
-2.6691331757575107,nan,nan,-2.687203717051043,3122.589535522392,114489,195
-2.6329920931704462,nan,nan,-2.6510626344639783,3122.589535522392,114509,195
-2.5968510105833813,nan,nan,-2.6149215518769138,3122.589535522392,114530,195
-2.560709927996317,nan,nan,-2.578780469289849,3122.589535522392,112236,261
-2.524568845409252,nan,nan,-2.5426393867027843,3122.589535522387,119386,491
-2.4884277628221874,nan,nan,-2.50649830411572,3122.589535522392,115072,476
-2.4522866802351224,nan,nan,-2.470357221528655,3122.589535522392,116527,455
-2.416145597648058,nan,nan,-2.43421613894159,3122.589535522392,117035,445
-2.380004515060993,nan,nan,-2.3980750563545254,3122.589535522392,116423,379
-2.3438634324739285,nan,nan,-2.361933973767461,3122.589535522392,121184,455
-2.3077223498868635,nan,nan,-2.325792891180396,3122.589535522392,118743,417
-2.271581267299799,nan,nan,-2.289651808593331,3122.589535522392,119292,409
-2.235440184712734,nan,nan,-2.2535107260062666,3122.589535522392,118162,426
-2.1992991021256696,nan,nan,-2.217369643419202,3122.589535522392,117495,365
-2.1631580195386046,nan,nan,-2.181228560832137,3122.589535522392,121220,455
-2.12701693695154,nan,nan,-2.145087478245072,3122.589535522373,119310,573
-2.0908758543644757,nan,nan,-2.108946395658008,3122.589535522387,118777,501
-2.0547347717774107,nan,nan,-2.072805313070943,3122.589535522392,128575,445
