time,flux,flux_err,time_bin_start,time_bin_size,cadenceno,kspsap_flux_err,quality,orbitid,sap_x,sap_y
-2.11659815817195,0.8997583483680137,0.19340010254359236,-2.1271826233460795,1828.9955820895518,128667,0.0016979497,655,7,1021.9293212890625,340.3714904785156
-2.0954292278236912,1.1217382103949423,0.20366230234823185,-2.106013692997821,1828.9955820895518,132014,0.0017189876,445,6,988.0905151367188,344.51971435546875
-2.0742602974754325,0.6891180260572862,0.1986075590751825,-2.084844762649562,1828.995582089553,130373,0.0017102072,512,7,996.9147338867188,341.3885803222656
-2.0530913671271738,1.2293070859747461,0.1980761296081356,-2.0636758323013034,1828.9955820895518,130286,0.0017058536,512,7,1014.5138549804688,343.3317565917969
-2.031922436778915,1.1811076510316447,0.20007912965420507,-2.0425069019530446,1828.995582089553,129608,0.0017043798,522,7,1008.7047119140625,342.3377990722656
-2.0107535064306563,1.0554464000216446,0.20008570078066285,-2.021337971604786,1828.9955820895518,129611,0.0017043798,522,7,1008.7042846679688,342.3377380371094
-1.9895845760823978,0.7888572747080258,0.19666146841519067,-2.000169041256527,1828.9955820895518,130959,0.001711532,417,6,1002.8463745117188,342.38055419921875
-1.968415645734139,1.1623256805585591,0.1966586768719211,-1.9790001109082684,1828.9955820895518,127302,0.0016903807,597,7,1028.4595947265625,340.2464294433594
-1.9472467153858803,1.3869507953362152,0.20010001227040142,-1.9578311805600097,1828.9955820895543,129618,0.0017043799,435,7,1008.7047119140625,342.3382568359375
-1.9260777850376216,1.2681208865225293,0.19809775262372822,-1.936662250211751,1828.9955820895518,130314,0.0017058536,426,7,1014.5138549804688,343.3318786621094
-1.9049088546893629,0.8988839210881413,0.1969384064526815,-1.9154933198634922,1828.9955820895518,127327,0.0016941419,768,7,1010.1824340820312,343.9494323730469
-1.8837399243411042,0.9820315798355668,0.20009234779635904,-1.8943243895152335,1828.9955820895518,129626,0.0017043799,697,7,1008.7044677734375,342.3383483886719
-1.8625709939928456,0.8238163169383388,0.19810474736609743,-1.8731554591669748,1828.9955820895543,130284,0.0017058536,768,7,1014.5138549804688,343.3321838378906
-1.841402063644587,0.6363082190541745,0.20009632847479103,-1.851986528818716,1828.9955820895495,129649,0.0017043799,610,7,1008.7044677734375,342.33941650390625
-1.8202331332963282,1.1574100051975695,0.19572817602623446,-1.8308175984704576,1828.9955820895543,131778,0.0017211628,819,6,974.7529907226562,339.60198974609375
-1.7990642029480695,1.235117731241148,0.20129540260223086,-1.8096486681221988,1828.9955820895495,133541,0.00173498,597,6,948.4534301757812,334.9408264160156
-1.7778952725998107,0.9261008600170579,0.19876773914292015,-1.78847973777394,1828.9955820895543,134056,0.0017315343,668,6,972.6124877929688,337.9678649902344
-1.756726342251552,1.0572721768910307,0.19876868775356982,-1.7673108074256814,1828.9955820895543,134059,0.0017315343,752,6,972.6121826171875,337.9678039550781
-1.7355574119032933,0.7052019444545006,0.19682402319806552,-1.7461418770774226,1828.9955820895543,134627,0.001732406,573,6,978.9109497070312,339.0098571777344
-1.7143884815550345,0.7649350206616097,0.20026036331437577,-1.724972946729164,1828.995582089559,133399,0.0017262725,768,6,983.6495971679688,338.82659912109375
-1.6932195512067758,0.9192065211431357,0.19679920315697946,-1.7038040163809052,1828.9955820895543,134583,0.0017324062,491,6,978.9105224609375,339.00799560546875
-1.672050620858517,1.2366270726519453,0.20027940889799128,-1.6826350860326464,1828.9955820895543,133404,0.0017262725,597,6,983.6494140625,338.8271179199219
-1.6508816905102583,1.303384782778652,0.20027773543956873,-1.6614661556843877,1828.995582089559,133419,0.0017262725,597,6,983.6492309570312,338.8272399902344
-1.6297127601619996,1.0810376766233973,0.19874688815922356,-1.6402972253361288,1828.9955820895543,134087,0.0017315343,752,6,972.6116333007812,337.9677429199219
-1.6085438298137409,1.2254118970286687,0.1967881056278967,-1.61912829498787,1828.9955820895543,134642,0.001732406,573,6,978.9112548828125,339.00946044921875
-1.587374899465482,0.8435398223462246,0.19571236292261998,-1.5979593646396113,1828.9955820895639,131782,0.0017211629,491,6,974.7525024414062,339.60101318359375
-1.5662059691172232,0.7265814893000729,0.20077272446370356,-1.5767904342913526,1828.9955820895543,133506,0.0017306261,256,6,966.0505981445312,336.883056640625
-1.5450370387689645,0.7304253347557301,0.20502201701468228,-1.5556215039430938,1828.9955820895543,132335,0.0017286919,89,6,952.0720825195312,334.572998046875
-1.5238681084207057,0.867382653532802,0.19849233371225677,-1.5344525735948351,1828.9955820895543,127640,0.0017072031,341,7,957.3875122070312,338.1200256347656
-1.502699178072447,0.9940924521756175,0.20017771752903782,-1.5132836432465764,1828.9955820895543,130711,0.0017232684,426,7,944.1199340820312,335.5589599609375
-1.4815302477241883,1.2730729455484115,0.20116681678563975,-1.4921147128983177,1828.9955820895543,129884,0.0017132725,174,7,972.7598266601562,338.36956787109375
-1.4603613173759296,1.112071738879673,0.2016959415720397,-1.470945782550059,1828.9955820895543,129938,0.0017177188,261,7,954.7872314453125,336.38433837890625
-1.4391923870276708,1.0958325029855849,0.20168596141260237,-1.4497768522018002,1828.995582089559,129941,0.0017177188,348,7,954.7867431640625,336.38433837890625
-1.418023456679412,0.9253562311302865,0.2001435156556244,-1.4286079218535415,1828.9955820895543,130683,0.0017232684,256,7,944.1207885742188,335.5579833984375
-1.3968545263311534,0.7810116426258538,0.20323298822006713,-1.4074389915052827,1828.9955820895543,129148,0.001711928,267,7,965.9171142578125,337.24603271484375
