time,flux,flux_err,time_bin_start,time_bin_size,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_lag
-0.10453083080399068,2.0625124003322846,0.6628379640626693,-0.10628715308319207,303.4924898459988,148239,1.0039654,1.0017432,0.008991568,682,0,1222.9195556640625,1449.4423828125,19143.19,282.02,0.99855345
-0.10101818624558792,3.3775679107778873,0.7818944518743861,-0.10277450852478931,303.4924898459988,147694,1.017563,1.0108131,0.0087234005,1024,0,1219.629150390625,1463.549560546875,28620.016,431.85,1.011861
-0.09750554168718516,3.7063779744684004,0.7398344508473607,-0.09926186396638655,303.4924898459988,148284,1.0046902,1.0095736,0.009098835,0,0,1224.216552734375,1443.779052734375,23158.854,254.93001,1.0097718
-0.0939928971287824,2.2879479917707557,0.5122361923802907,-0.09574921940798378,303.492489846,90623,1.0067755,1.0031885,0.00738495,585,10,956.8428344726562,1425.066162109375,16459.193,588.94434,1.0018078
-0.09048025257037962,2.4743278290485407,0.4824014809365362,-0.092236574849581,303.4924898459988,80611,0.99812984,1.0018394,0.0072201267,512,11,924.7691650390625,1475.04736328125,14430.038,491.22498,1.0017157
-0.08696760801197685,3.317513739821966,0.4998763521794097,-0.08872393029117824,303.4924898459988,89938,1.0150249,1.0127134,0.007145045,585,9,966.4940185546875,1505.656005859375,16316.428,553.9614,1.0108762
-0.08345496345357409,3.2062255429343343,0.739852061803803,-0.08521128573277548,303.4924898459988,148286,1.0018954,1.0069308,0.009098835,0,0,1224.216552734375,1443.7781982421875,23121.318,284.73798,1.0066526
-0.07994231889517132,0.7627948704587975,1.1360659305986058,-0.08169864117437271,303.4924898459988,147043,1.005762,0.99730057,0.008991568,0,0,1222.901611328125,1449.394775390625,28879.31,352.065,0.9929216
-0.07642967433676856,3.435718543268956,0.7398541357981141,-0.07818599661596995,303.492489846,148287,1.0031084,1.0082964,0.009098835,0,0,1224.2161865234375,1443.7781982421875,23215.787,285.344,1.0047926
-0.0729170297783658,2.4227366631446516,0.5122779515653666,-0.07467335205756717,303.49248984599757,90625,1.0067708,1.003607,0.00738495,1170,10,956.8419189453125,1425.06640625,16463.973,619.86865,1.0058206
-0.06940438521996303,1.765074301743332,0.4610538956125877,-0.07116070749916442,303.492489846,88467,0.99486,0.9984154,0.007357361,0,9,957.156982421875,1475.33837890625,12978.896,507.1933,0.9991112
-0.06589174066156026,0.4416656797588542,0.5296418767299986,-0.06764806294076164,303.4924898459988,80259,0.9930361,0.9970929,0.0069266804,0,10,924.8375854492188,1510.3055419921875,19156.049,586.655,0.99854785
-0.0623790961031575,0.20753551394648395,0.8176317130065557,-0.06413541838235888,303.4924898459988,148518,0.9852554,0.9901997,0.008991568,0,0,1222.8912353515625,1449.424560546875,14539.095,244.0575,0.988241
-0.05886645154475473,1.5510464795817565,0.7809725133771045,-0.060622773823956116,303.4924898459994,147700,1.0083362,1.0017358,0.0087234005,1024,0,1219.6290283203125,1463.5499267578125,28854.783,378.17,1.0012248
-0.055353806986351964,0.34891579426717223,0.8426789623121602,-0.057110129265553346,303.4924898459982,147537,0.98438954,0.9916786,0.009259736,0,0,1226.206298828125,1435.306884765625,28969.104,314.085,0.98950297
-0.0518411624279492,1.1739899929333808,0.512051091800256,-0.05359748470715059,303.4924898459994,90627,1.0001644,0.99727,0.00738495,585,10,956.8433837890625,1425.066650390625,16435.756,631.96576,0.9980126
-0.048328517869546436,1.4242080735227247,0.4152318350467221,-0.05008484014874782,303.4924898459994,86739,0.99807477,0.998245,0.0073440657,0,10,952.0838012695312,1478.27587890625,10527.481,505.36087,0.9980948
-0.04481587331114366,0.1436869031540976,0.5856589643825221,-0.04657219559034505,303.492489846,94338,0.9914457,0.9963974,0.0070893676,819,8,981.3919067382812,1511.321533203125,23017.89,548.47797,0.99676675
-0.04130322875274089,-0.03136699099375595,0.678198997223676,-0.04305955103194227,303.4924898459988,147703,0.9871699,0.990531,0.009170347,0,0,1225.1016845703125,1440.0084228515625,19285.586,260.29,0.99187565
-0.03779058419433812,1.0610457232548225,1.0739432472197759,-0.039546906473539506,303.492489846,148358,1.0024403,0.99671483,0.008455232,2048,0,1216.35595703125,1477.703857421875,28788.05,423.945,0.99391675
-0.034277939635935346,0.12071190975892243,0.5989487985891072,-0.03603426191513673,303.4924898459988,128731,0.98865455,0.9914055,0.008660348,0,3,1136.7353515625,1430.545166015625,16555.879,420.33002,0.99084765
-0.030765295077532576,0.592095658392786,0.5151875673098972,-0.032521617356733964,303.492489846,90879,0.9914502,0.9932653,0.0073849508,1170,9,956.8280029296875,1425.0640869140625,24842.887,547.88574,0.9898988
-0.027252650519129805,0.4775772964182693,0.47520728859672645,-0.029008972798331187,303.4924898459988,80263,0.99598396,0.9920113,0.0071501546,0,10,927.5872192382812,1498.562255859375,7250.9536,493.52875,0.9920151
-0.023740005960727034,0.12213837604666711,0.6036630584523215,-0.025496328239928423,303.492489846,94079,0.9951156,0.9962945,0.0073039024,819,8,984.0401611328125,1500.031982421875,23008.146,591.47595,0.9934701
-0.020227361402324257,0.2016866163576898,0.8386254178891045,-0.021983683681525645,303.492489846,146888,0.9880074,0.9923667,0.009259736,0,0,1226.20947265625,1435.2969970703125,14522.069,255.5125,0.9916618
-0.016714716843921486,-0.26098052484496326,0.78601290664945,-0.018471039123122868,303.4924898459988,148361,0.99262,0.98939043,0.0087234005,1024,0,1219.6253662109375,1463.5596923828125,43481.484,399.46503,0.9916817
